loss,seed,MAE,MSE,RMSE
MSE,2021,0.17408764362335205,0.054193876683712006,0.2327957832172052
MSE,2022,0.17505566775798798,0.05482442304491997,0.23414615744214118
MSE,2023,0.175420880317688,0.05522432550787926,0.2349985649059995
MSE,2024,0.17430204153060913,0.054547715932130814,0.23355452453791345
MSE,2025,0.17369085550308228,0.053904227912425995,0.23217284060032947
MSE,2026,0.17443259060382843,0.05454370379447937,0.23354593508446977
MSE,2027,0.1731085479259491,0.05389034375548363,0.23214293819860993
MSE,2028,0.17447637021541595,0.05449382960796356,0.2334391346967418
MSE,2029,0.17416957020759583,0.05443764105439186,0.23331875418489587
MSE,2030,0.1745096892118454,0.0545162633061409,0.23348718017514558
weighted,2021,0.17673254013061523,0.05587467551231384,0.2363782466986204
weighted,2022,0.17669814825057983,0.05603216588497162,0.2367111444038316
weighted,2023,0.17805489897727966,0.05689016729593277,0.23851659752715904
weighted,2024,0.17604336142539978,0.05568229407072067,0.23597096022756842
weighted,2025,0.17662793397903442,0.05576033517718315,0.2361362640027642
weighted,2026,0.1764497011899948,0.05589786916971207,0.23642730208187054
weighted,2027,0.17528459429740906,0.05530042201280594,0.2351604176148825
weighted,2028,0.17658944427967072,0.05594900622963905,0.23653542277984296
weighted,2029,0.17643654346466064,0.055990930646657944,0.23662402804165503
weighted,2030,0.1768510490655899,0.05600655451416969,0.23665703985761694
weighted_hard,2021,0.17669756710529327,0.05521564930677414,0.2349801040657999
weighted_hard,2022,0.1773492395877838,0.05567259341478348,0.2359504045658398
weighted_hard,2023,0.17821823060512543,0.05629326403141022,0.23726201556804288
weighted_hard,2024,0.17660589516162872,0.055410370230674744,0.2353940743321181
weighted_hard,2025,0.1760789453983307,0.054790522903203964,0.23407375526360055
weighted_hard,2026,0.1771673858165741,0.055560894310474396,0.2357135853328662
weighted_hard,2027,0.1753985732793808,0.054729338735342026,0.23394302454944457
weighted_hard,2028,0.17687074840068817,0.05540560930967331,0.23538396145377727
weighted_hard,2029,0.17673996090888977,0.055409278720617294,0.23539175584675281
weighted_hard,2030,0.17691950500011444,0.05544289946556091,0.23546315946568142
corr,2021,0.17932724952697754,0.05719517171382904,0.23915512060967675
corr,2022,0.17951412498950958,0.05746668949723244,0.23972210890368964
corr,2023,0.18058353662490845,0.058187391608953476,0.24122062848967432
corr,2024,0.1786227822303772,0.05698123574256897,0.2387074270787756
corr,2025,0.1791350394487381,0.057034265249967575,0.2388184776142072
corr,2026,0.17909076809883118,0.05724303424358368,0.23925516555256165
corr,2027,0.177949920296669,0.056624773889780045,0.23795960558418322
corr,2028,0.17928405106067657,0.057296402752399445,0.2393666700950645
corr,2029,0.1790221780538559,0.05728822574019432,0.23934958897018044
corr,2030,0.17955981194972992,0.05739462375640869,0.23957175074788908
